latitude,longitude
55.9,-3.3
55.9,-3.283912
55.9,-3.267824
55.9,-3.251736
55.9,-3.235649
55.9,-3.219561
55.9,-3.203473
55.9,-3.187385
55.9,-3.171297
55.9,-3.155209
55.9,-3.139122
55.9,-3.123034
55.9,-3.106946
55.909009,-3.3
55.909009,-3.283912
55.909009,-3.267824
55.909009,-3.251736
55.909009,-3.235649
55.909009,-3.219561
55.909009,-3.203473
55.909009,-3.187385
55.909009,-3.171297
55.909009,-3.155209
55.909009,-3.139122
55.909009,-3.123034
55.909009,-3.106946
55.918018,-3.3
55.918018,-3.283912
55.918018,-3.267824
55.918018,-3.251736
55.918018,-3.235649
55.918018,-3.219561
55.918018,-3.203473
55.918018,-3.187385
55.918018,-3.171297
55.918018,-3.155209
55.918018,-3.139122
55.918018,-3.123034
55.918018,-3.106946
55.927027,-3.3
55.927027,-3.283912
55.927027,-3.267824
55.927027,-3.251736
55.927027,-3.235649
55.927027,-3.219561
55.927027,-3.203473
55.927027,-3.187385
55.927027,-3.171297
55.927027,-3.155209
55.927027,-3.139122
55.927027,-3.123034
55.927027,-3.106946
55.936036,-3.3
55.936036,-3.283912
55.936036,-3.267824
55.936036,-3.251736
55.936036,-3.235649
55.936036,-3.219561
55.936036,-3.203473
55.936036,-3.187385
55.936036,-3.171297
55.936036,-3.155209
55.936036,-3.139122
55.936036,-3.123034
55.936036,-3.106946
55.945045,-3.3
55.945045,-3.283912
55.945045,-3.267824
55.945045,-3.251736
55.945045,-3.235649
55.945045,-3.219561
55.945045,-3.203473
55.945045,-3.187385
55.945045,-3.171297
55.945045,-3.155209
55.945045,-3.139122
55.945045,-3.123034
55.945045,-3.106946
55.954054,-3.3
55.954054,-3.283912
55.954054,-3.267824
55.954054,-3.251736
55.954054,-3.235649
55.954054,-3.219561
55.954054,-3.203473
55.954054,-3.187385
55.954054,-3.171297
55.954054,-3.155209
55.954054,-3.139122
55.954054,-3.123034
55.954054,-3.106946
55.963063,-3.3
55.963063,-3.283912
55.963063,-3.267824
55.963063,-3.251736
55.963063,-3.235649
55.963063,-3.219561
55.963063,-3.203473
55.963063,-3.187385
55.963063,-3.171297
55.963063,-3.155209
55.963063,-3.139122
55.963063,-3.123034
55.963063,-3.106946
55.972072,-3.3
55.972072,-3.283912
55.972072,-3.267824
55.972072,-3.251736
55.972072,-3.235649
55.972072,-3.219561
55.972072,-3.203473
55.972072,-3.187385
55.972072,-3.171297
55.972072,-3.155209
55.972072,-3.139122
55.972072,-3.123034
55.972072,-3.106946
55.981081,-3.3
55.981081,-3.283912
55.981081,-3.267824
55.981081,-3.251736
55.981081,-3.235649
55.981081,-3.219561
55.981081,-3.203473
55.981081,-3.187385
55.981081,-3.171297
55.981081,-3.155209
55.981081,-3.139122
55.981081,-3.123034
55.981081,-3.106946
